config,run,case,approach,latency,parse_ok,matches,coverage,error
original-Haiku,1,NormalMatch,BAML,4.011,True,4,1.0,
original-Haiku,1,NormalMatch,Pydantic,4.719,True,5,1.0,
original-Haiku,1,EmptyBullets,BAML,3.527,True,4,0.9,
original-Haiku,1,EmptyBullets,Pydantic,4.484,False,0,0.0,"3 validation errors for MatchResult
matches
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
coverage_score
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
missing_requirements
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing"
original-Haiku,1,TerseSAP,BAML,2.083,True,2,1.0,
original-Haiku,1,TerseSAP,Pydantic,1.722,True,2,1.0,
original-Haiku,2,NormalMatch,BAML,2.56,True,4,1.0,
original-Haiku,2,NormalMatch,Pydantic,3.267,True,5,1.0,
original-Haiku,2,EmptyBullets,BAML,3.379,True,4,0.9,
original-Haiku,2,EmptyBullets,Pydantic,4.009,False,0,0.0,"3 validation errors for MatchResult
matches
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
coverage_score
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
missing_requirements
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing"
original-Haiku,2,TerseSAP,BAML,1.932,True,2,1.0,
original-Haiku,2,TerseSAP,Pydantic,1.545,True,2,1.0,
original-Haiku,3,NormalMatch,BAML,3.887,True,5,1.0,
original-Haiku,3,NormalMatch,Pydantic,4.818,True,5,1.0,
original-Haiku,3,EmptyBullets,BAML,3.707,True,4,0.95,
original-Haiku,3,EmptyBullets,Pydantic,4.976,False,0,0.0,"3 validation errors for MatchResult
matches
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
coverage_score
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
missing_requirements
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing"
original-Haiku,3,TerseSAP,BAML,2.223,True,2,1.0,
original-Haiku,3,TerseSAP,Pydantic,1.923,True,2,1.0,
original-Haiku,4,NormalMatch,BAML,2.933,True,4,1.0,
original-Haiku,4,NormalMatch,Pydantic,3.946,True,5,1.0,
original-Haiku,4,EmptyBullets,BAML,3.271,True,4,0.9,
original-Haiku,4,EmptyBullets,Pydantic,4.444,False,0,0.0,"3 validation errors for MatchResult
matches
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
coverage_score
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
missing_requirements
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing"
original-Haiku,4,TerseSAP,BAML,1.727,True,2,1.0,
original-Haiku,4,TerseSAP,Pydantic,1.966,True,2,1.0,
original-Haiku,5,NormalMatch,BAML,3.356,True,4,1.0,
original-Haiku,5,NormalMatch,Pydantic,3.674,True,5,1.0,
original-Haiku,5,EmptyBullets,BAML,2.688,True,4,0.9,
original-Haiku,5,EmptyBullets,Pydantic,4.473,False,0,0.0,"3 validation errors for MatchResult
matches
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sult', 'type': 'object'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
coverage_score
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sult', 'type': 'object'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
missing_requirements
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sult', 'type': 'object'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing"
original-Haiku,5,TerseSAP,BAML,2.032,True,2,1.0,
original-Haiku,5,TerseSAP,Pydantic,1.892,True,2,1.0,
original-Haiku,6,NormalMatch,BAML,4.065,True,5,1.0,
original-Haiku,6,NormalMatch,Pydantic,3.64,True,5,1.0,
original-Haiku,6,EmptyBullets,BAML,3.072,True,4,0.9,
original-Haiku,6,EmptyBullets,Pydantic,3.675,False,0,0.0,"3 validation errors for MatchResult
matches
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
coverage_score
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
missing_requirements
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing"
original-Haiku,6,TerseSAP,BAML,1.876,True,2,1.0,
original-Haiku,6,TerseSAP,Pydantic,1.793,True,2,1.0,
original-Haiku,7,NormalMatch,BAML,4.171,True,5,1.0,
original-Haiku,7,NormalMatch,Pydantic,4.393,True,5,1.0,
original-Haiku,7,EmptyBullets,BAML,4.88,True,4,0.9,
original-Haiku,7,EmptyBullets,Pydantic,3.981,False,0,0.0,"3 validation errors for MatchResult
matches
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
coverage_score
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
missing_requirements
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing"
original-Haiku,7,TerseSAP,BAML,1.805,True,2,1.0,
original-Haiku,7,TerseSAP,Pydantic,2.091,True,2,1.0,
original-Haiku,8,NormalMatch,BAML,3.421,True,4,1.0,
original-Haiku,8,NormalMatch,Pydantic,5.59,False,0,0.0,"3 validation errors for MatchResult
matches
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
coverage_score
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
missing_requirements
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing"
original-Haiku,8,EmptyBullets,BAML,3.502,True,4,0.9,
original-Haiku,8,EmptyBullets,Pydantic,3.916,False,0,0.0,"3 validation errors for MatchResult
matches
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
coverage_score
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing
missing_requirements
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.13/v/missing"
original-Haiku,8,TerseSAP,BAML,2.014,True,2,1.0,
original-Haiku,8,TerseSAP,Pydantic,1.711,True,2,1.0,
original-Haiku,9,NormalMatch,BAML,3.747,True,4,1.0,
original-Haiku,9,NormalMatch,Pydantic,4.92,True,5,1.0,
original-Haiku,9,EmptyBullets,BAML,3.371,True,4,0.9,
