run_id,framework,stage_1_parse_ok,stage_1_latency_ms,stage_2_parse_ok,stage_2_latency_ms,end_to_end_ok,end_to_end_latency_ms,stage_1_error,stage_2_error
1,baml,True,4129,True,1446,True,5575,,
1,pydantic,True,3129,True,3403,True,6532,,
2,baml,True,3363,True,1502,True,4865,,
2,pydantic,True,4282,True,1651,True,5933,,
3,baml,True,3661,True,1237,True,4898,,
3,pydantic,True,6562,True,1417,True,7979,,
4,baml,True,3960,True,1416,True,5376,,
4,pydantic,True,4441,True,1213,True,5654,,
5,baml,True,3486,True,1273,True,4759,,
5,pydantic,True,3145,True,1583,True,4728,,
6,baml,True,3916,True,1237,True,5153,,
6,pydantic,True,4379,True,1340,True,5719,,
7,baml,True,2772,True,1237,True,4009,,
7,pydantic,True,4168,True,5891,True,10059,,
8,baml,True,4332,True,1872,True,6204,,
8,pydantic,True,4556,True,1455,True,6011,,
9,baml,True,3408,True,1349,True,4757,,
9,pydantic,True,3023,True,1253,True,4276,,
10,baml,True,4800,True,1273,True,6073,,
10,pydantic,True,5714,True,1433,True,7147,,
11,baml,True,3662,True,1396,True,5058,,
11,pydantic,True,3706,True,1497,True,5203,,
12,baml,True,3009,True,1277,True,4286,,
12,pydantic,True,3999,True,1627,True,5626,,
13,baml,True,3080,True,1492,True,4572,,
13,pydantic,True,4278,True,1495,True,5773,,
14,baml,True,3732,True,1318,True,5050,,
14,pydantic,True,4307,True,1675,True,5982,,
15,baml,True,3832,True,1526,True,5358,,
15,pydantic,True,3664,True,1404,True,5068,,
16,baml,True,3724,True,1321,True,5045,,
16,pydantic,True,4406,True,1320,True,5726,,
17,baml,True,2780,True,1290,True,4070,,
17,pydantic,True,3962,True,2446,True,6408,,
18,baml,True,2574,True,1492,True,4066,,
18,pydantic,True,3560,True,1340,True,4900,,
19,baml,True,3804,True,1447,True,5251,,
19,pydantic,True,4092,True,1448,True,5540,,
20,baml,True,2925,True,1480,True,4405,,
20,pydantic,True,4087,True,1429,True,5516,,
21,baml,True,3003,True,1386,True,4389,,
21,pydantic,True,4553,True,1153,True,5706,,
22,baml,True,3734,True,1352,True,5086,,
22,pydantic,True,4275,True,2842,True,7117,,
23,baml,True,3445,True,1492,True,4937,,
23,pydantic,False,5202,False,0,False,5202,"3 validation errors for MatchResult
matches
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https:/",
24,baml,True,3271,True,1298,True,4569,,
24,pydantic,True,3755,True,1508,True,5263,,
25,baml,True,2960,True,1318,True,4278,,
25,pydantic,True,3420,True,1459,True,4879,,
26,baml,True,2832,True,1409,True,4241,,
26,pydantic,True,3578,True,1487,True,5065,,
27,baml,True,2518,True,1131,True,3649,,
27,pydantic,True,3792,True,1445,True,5237,,
28,baml,True,3651,True,1486,True,5137,,
28,pydantic,True,3745,True,1472,True,5217,,
29,baml,True,4363,True,1231,True,5594,,
29,pydantic,True,3888,True,1201,True,5089,,
30,baml,True,3911,True,1513,True,5424,,
30,pydantic,False,4837,False,0,False,4837,"3 validation errors for MatchResult
matches
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https:/",
31,baml,True,4072,True,1429,True,5501,,
31,pydantic,True,4202,True,1781,True,5983,,
32,baml,True,2996,True,1666,True,4662,,
32,pydantic,True,3926,True,1497,True,5423,,
33,baml,True,2858,True,1390,True,4248,,
33,pydantic,True,4081,True,1824,True,5905,,
34,baml,True,4205,True,1514,True,5719,,
34,pydantic,True,5719,True,1505,True,7224,,
35,baml,True,3473,True,1369,True,4842,,
35,pydantic,True,3652,True,1944,True,5596,,
36,baml,True,3185,True,1635,True,4820,,
36,pydantic,True,3717,True,1547,True,5264,,
37,baml,True,3080,True,3259,True,6339,,
37,pydantic,True,4091,True,1777,True,5868,,
38,baml,True,7580,True,1603,True,9183,,
38,pydantic,True,4028,True,1436,True,5464,,
39,baml,True,2775,True,3477,True,6252,,
39,pydantic,True,3826,True,1394,True,5220,,
40,baml,True,2895,True,1396,True,4291,,
40,pydantic,True,3368,True,1228,True,4596,,
41,baml,True,3413,True,1387,True,4800,,
41,pydantic,True,2953,True,1712,True,4665,,
42,baml,True,7340,True,1605,True,8945,,
42,pydantic,False,4924,False,0,False,4924,"3 validation errors for MatchResult
matches
  Field required [type=missing, input_value={'$defs': {'MatchEntry': ...sing_requirements': []}}, input_type=dict]
    For further information visit https:/",
43,baml,True,4428,True,1361,True,5789,,
43,pydantic,True,3927,True,1247,True,5174,,
44,baml,True,2790,True,1935,True,4725,,
44,pydantic,True,3529,True,1480,True,5009,,
45,baml,True,3719,True,1347,True,5066,,
45,pydantic,True,4024,True,1239,True,5263,,
46,baml,True,4025,True,1485,True,5510,,
46,pydantic,True,4302,True,1467,True,5769,,
47,baml,True,3583,True,1505,True,5088,,
47,pydantic,True,4503,True,1347,True,5850,,
48,baml,True,3422,True,1501,True,4923,,
48,pydantic,True,5702,True,1733,True,7435,,
49,baml,True,3623,True,1510,True,5133,,
49,pydantic,True,3469,True,1423,True,4892,,
50,baml,True,3695,True,1474,True,5169,,
50,pydantic,True,4150,True,1275,True,5425,,
